Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445038725667804179,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667804734,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667804990,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725667806313,00000374,false,Rx,0,8,79,7C,7D,FE,3F,3E,3A,30,
18445038725667807294,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667807550,00000567,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725667809854,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667810110,00000565,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725667810537,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667810835,0000056F,false,Rx,0,8,2A,88,2A,08,00,00,28,0A,
18445038725667811091,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725667811305,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667811689,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725667814206,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667814675,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667814974,00000389,false,Rx,0,8,02,00,00,3C,3C,00,00,00,
18445038725667816296,00000375,false,Rx,0,8,0F,0F,00,17,98,00,00,00,
18445038725667816680,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725667817278,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667817534,0000056D,false,Rx,0,8,2A,00,00,00,00,00,28,0A,
18445038725667817832,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725667819198,00000371,false,Rx,0,8,0A,00,00,00,00,00,00,00,
18445038725667820051,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667820264,00000154,false,Rx,0,8,99,99,30,99,16,11,F8,5C,
18445038725667820520,0000056C,false,Rx,0,8,2A,88,02,00,00,00,28,0A,
18445038725667820734,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667820990,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725667821288,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667821672,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725667823806,000005A1,false,Rx,0,8,2A,A2,AA,2A,A2,8A,82,A2,
18445038725667824190,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667824531,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667825000,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
